run,step,my_score,opponent_score_mean,score_gap,score_gap_vs_best_opponent,my_rank
warmstart_equaldist_true_bs_s0,40000,0.9077118039131165,0.9505599737167358,-0.042848214507102966,-0.24378295242786407,8.399999618530273
warmstart_equaldist_true_bs_s0,80000,0.9309535026550293,0.9495559930801392,-0.018602488562464714,-0.2181793451309204,8.0
warmstart_equaldist_true_bs_s0,120000,0.8769420981407166,0.9440507292747498,-0.0671086385846138,-0.27514737844467163,8.5
warmstart_equaldist_true_bs_s0,160000,0.9111456274986267,0.9457249641418457,-0.034579332917928696,-0.2448239028453827,8.100000381469727
warmstart_equaldist_true_bs_s0,200000,0.9115697145462036,0.9429890513420105,-0.03141932934522629,-0.23894532024860382,8.300000190734863
warmstart_equaldist_true_bs_s0,240000,0.8897188901901245,0.9417985677719116,-0.05207967013120651,-0.26314741373062134,8.5
warmstart_equaldist_true_bs_s0,280000,0.9001895189285278,0.945304274559021,-0.04511474072933197,-0.25083044171333313,8.199999809265137
warmstart_equaldist_true_bs_s0,320000,0.8964806795120239,0.9441285729408264,-0.047647926956415176,-0.25325140357017517,8.5
warmstart_equaldist_true_bs_s0,360000,0.9043347835540771,0.9470808506011963,-0.04274606704711914,-0.2481069713830948,8.399999618530273
warmstart_equaldist_true_bs_s0,400000,0.9148522615432739,0.9479632377624512,-0.03311098366975784,-0.23925089836120605,8.199999809265137
warmstart_equaldist_true_bs_s1,40000,0.8921324014663696,0.9570021033287048,-0.06486967951059341,-0.25706589221954346,8.699999809265137
warmstart_equaldist_true_bs_s1,80000,0.9555992484092712,0.9513982534408569,0.004200989380478859,-0.19632935523986816,7.699999809265137
warmstart_equaldist_true_bs_s1,120000,0.930271565914154,0.9474388957023621,-0.017167354002594948,-0.217568501830101,8.0
warmstart_equaldist_true_bs_s1,160000,0.9448756575584412,0.9478543400764465,-0.0029786827508360147,-0.20162352919578552,8.0
warmstart_equaldist_true_bs_s1,200000,0.9592599868774414,0.9551491737365723,0.004110816400498152,-0.1961388885974884,7.800000190734863
warmstart_equaldist_true_bs_s1,240000,0.9489090442657471,0.9537315368652344,-0.004822444636374712,-0.20763765275478363,7.699999809265137
warmstart_equaldist_true_bs_s1,280000,0.9485882520675659,0.9574518203735352,-0.008863520808517933,-0.20999327301979065,8.0
warmstart_equaldist_true_bs_s1,320000,0.9637435674667358,0.9543856978416443,0.009357846342027187,-0.1899099200963974,7.599999904632568
warmstart_equaldist_true_bs_s1,360000,0.9712817668914795,0.9549254179000854,0.016356319189071655,-0.18560105562210083,7.599999904632568
warmstart_equaldist_true_bs_s1,400000,0.9638192057609558,0.9517808556556702,0.012038334272801876,-0.19278603792190552,7.699999809265137
warmstart_equaldist_true_bs_s2,40000,0.9295069575309753,0.9537186622619629,-0.024211708456277847,-0.2209993600845337,8.100000381469727
warmstart_equaldist_true_bs_s2,80000,0.9446551203727722,0.9501389861106873,-0.0054838526993989944,-0.20923492312431335,7.900000095367432
warmstart_equaldist_true_bs_s2,120000,0.9497823715209961,0.9501124024391174,-0.00033005885779857635,-0.20478588342666626,7.900000095367432
warmstart_equaldist_true_bs_s2,160000,0.9613105058670044,0.9499937295913696,0.011316767893731594,-0.1908230483531952,7.5
warmstart_equaldist_true_bs_s2,200000,0.9615617990493774,0.9495941996574402,0.011967607773840427,-0.19175200164318085,7.5
warmstart_equaldist_true_bs_s2,240000,0.9560259580612183,0.9511669278144836,0.004858971573412418,-0.19655820727348328,7.900000095367432
warmstart_equaldist_true_bs_s2,280000,0.9332335591316223,0.9503997564315796,-0.01716621406376362,-0.21993790566921234,8.100000381469727
warmstart_equaldist_true_bs_s2,320000,0.9244990944862366,0.9445789456367493,-0.02007981203496456,-0.22506119310855865,8.199999809265137
warmstart_equaldist_true_bs_s2,360000,0.9136018753051758,0.9437967538833618,-0.030194930732250214,-0.2414063811302185,8.0
warmstart_equaldist_true_bs_s2,400000,0.9200730323791504,0.9435393214225769,-0.02346630021929741,-0.22927558422088623,8.199999809265137
