run,last_step,best_step,best_gap_vs_best,last_gap_vs_best,best_my_score,last_my_score,best_score_gap,last_score_gap,best_rank,last_rank
warmstart_equaldist_true_bs_s0,400000,80000,-0.2181793451309204,-0.23925089836120605,0.9309535026550293,0.9148522615432739,-0.018602488562464714,-0.03311098366975784,8.0,8.199999809265137
warmstart_equaldist_true_bs_s1,400000,360000,-0.18560105562210083,-0.19278603792190552,0.9712817668914795,0.9638192057609558,0.016356319189071655,0.012038334272801876,7.599999904632568,7.699999809265137
warmstart_equaldist_true_bs_s2,400000,160000,-0.1908230483531952,-0.22927558422088623,0.9613105058670044,0.9200730323791504,0.011316767893731594,-0.02346630021929741,7.5,8.199999809265137
