run,step,my_score,opponent_score_mean,score_gap,score_gap_vs_best_opponent,my_rank
ppo_fromscratch_bs_s0,40000,0.756999671459198,0.9448211193084717,-0.18782144784927368,-0.40560266375541687,9.5
ppo_fromscratch_bs_s0,80000,0.7968805432319641,0.9509927034378052,-0.15411217510700226,-0.3690568208694458,9.300000190734863
ppo_fromscratch_bs_s0,120000,0.7954444289207458,0.9493879079818726,-0.1539434939622879,-0.36365073919296265,9.5
ppo_fromscratch_bs_s0,160000,0.8019780516624451,0.9496365189552307,-0.14765842258930206,-0.3646923005580902,9.300000190734863
ppo_fromscratch_bs_s0,200000,0.7592848539352417,0.9475047588348389,-0.1882198452949524,-0.40390273928642273,9.600000381469727
ppo_fromscratch_bs_s0,240000,0.7417729496955872,0.9439313411712646,-0.2021583616733551,-0.4157531261444092,9.5
ppo_fromscratch_bs_s0,280000,0.7420350313186646,0.9453175663948059,-0.20328256487846375,-0.4184703826904297,9.5
ppo_fromscratch_bs_s0,320000,0.7296469807624817,0.9451308846473694,-0.2154839038848877,-0.4333394765853882,9.600000381469727
ppo_fromscratch_bs_s0,360000,0.7212086915969849,0.9453349113464355,-0.2241261899471283,-0.44304877519607544,9.699999809265137
ppo_fromscratch_bs_s0,400000,0.7220738530158997,0.9453803300857544,-0.22330650687217712,-0.4396313428878784,9.699999809265137
ppo_fromscratch_bs_s1,40000,0.8454387784004211,0.9512830376625061,-0.10584426671266556,-0.31303462386131287,9.100000381469727
ppo_fromscratch_bs_s1,80000,0.7506042122840881,0.9432668685913086,-0.19266268610954285,-0.41611453890800476,9.600000381469727
ppo_fromscratch_bs_s1,120000,0.7532559633255005,0.9406140446662903,-0.1873580813407898,-0.40664252638816833,9.399999618530273
ppo_fromscratch_bs_s1,160000,0.7919815182685852,0.9424235820770264,-0.15044206380844116,-0.373002827167511,9.100000381469727
ppo_fromscratch_bs_s1,200000,0.7343748807907104,0.9387072920799255,-0.2043323814868927,-0.42685171961784363,9.399999618530273
ppo_fromscratch_bs_s1,240000,0.7689269781112671,0.9415404796600342,-0.17261353135108948,-0.39635875821113586,9.300000190734863
ppo_fromscratch_bs_s1,280000,0.7398858070373535,0.9400036334991455,-0.20011785626411438,-0.4270549416542053,9.5
ppo_fromscratch_bs_s1,320000,0.7497934103012085,0.9437934756278992,-0.19400009512901306,-0.4129883348941803,9.5
ppo_fromscratch_bs_s1,360000,0.7582177519798279,0.9463769793510437,-0.1881592720746994,-0.4111084043979645,9.300000190734863
ppo_fromscratch_bs_s1,400000,0.7676354050636292,0.9498356580734253,-0.18220028281211853,-0.39814621210098267,9.399999618530273
ppo_fromscratch_bs_s2,40000,0.7707997560501099,0.9447758793830872,-0.17397616803646088,-0.38855108618736267,9.300000190734863
ppo_fromscratch_bs_s2,80000,0.8242012858390808,0.9509813189506531,-0.12678001821041107,-0.33915483951568604,9.0
ppo_fromscratch_bs_s2,120000,0.7246306538581848,0.9384401440620422,-0.21380946040153503,-0.43263566493988037,9.399999618530273
ppo_fromscratch_bs_s2,160000,0.7795090079307556,0.9463681578636169,-0.16685913503170013,-0.3845020830631256,9.100000381469727
ppo_fromscratch_bs_s2,200000,0.6840862035751343,0.9383344054222107,-0.2542482316493988,-0.47191140055656433,9.699999809265137
ppo_fromscratch_bs_s2,240000,0.7228720784187317,0.9397516846656799,-0.21687962114810944,-0.43724697828292847,9.399999618530273
ppo_fromscratch_bs_s2,280000,0.7307375073432922,0.9452075362205505,-0.2144699990749359,-0.4302290380001068,9.300000190734863
ppo_fromscratch_bs_s2,320000,0.772179126739502,0.9475334882736206,-0.17535433173179626,-0.3892876207828522,9.100000381469727
ppo_fromscratch_bs_s2,360000,0.7424522042274475,0.9474448561668396,-0.20499269664287567,-0.41961443424224854,9.300000190734863
ppo_fromscratch_bs_s2,400000,0.7511627078056335,0.9461237192153931,-0.19496101140975952,-0.4119751453399658,9.399999618530273
